"";"CD_MUNIC";"ano";"Pop";"Obitos";"PopPad";"Obtadj";"tx";"txadj"
"112";130260;2013;1982177;934,4;1e+06;430,184548344504;47,1400889022524;43,0184548344504
"113";130270;2013;51331;9,3;1e+06;218,308846732319;18,1177066490035;21,8308846732319
"114";130280;2013;18310;0,7;1e+06;46,2952677515996;3,82304751501912;4,62952677515996
"115";130290;2013;57663;9,9;1e+06;179,476262524916;17,168721710629;17,9476262524916
"116";130300;2013;19792;0,4;1e+06;23,4930037828565;2,02101859337106;2,34930037828565
"117";130310;2013;33829;4,4;1e+06;126,96630011308;13,0065919772976;12,696630011308
"118";130320;2013;16719;3,2;1e+06;219,814063347523;19,1399007117651;21,9814063347523
"119";130330;2013;23486;4,3;1e+06;200,929757884427;18,3087796985438;20,0929757884427
"120";130340;2013;109225;12,8;1e+06;126,091693746439;11,7189288166629;12,6091693746439
"121";130350;2013;19149;1,3;1e+06;72,408676649677;6,78886625933469;7,2408676649677
"122";130353;2013;30978;9,7;1e+06;371,011001771624;31,3125443863387;37,1011001771624
"123";130356;2013;28999;7,1;1e+06;257,54702439478;24,483602882858;25,754702439478
"124";130360;2013;20986;1,4;1e+06;74,9898122422571;6,6711140760507;7,49898122422571
"125";130370;2013;24327;1,4;1e+06;81,108654734771;5,75492251407901;8,1108654734771
"126";130380;2013;41575;6,5;1e+06;174,050799868644;15,634395670475;17,4050799868644
"127";130390;2013;34963;2;1e+06;68,0080539202444;5,72033292337614;6,80080539202445
"128";130395;2013;12115;0,9;1e+06;89,4416891123547;7,42880726372266;8,94416891123547
"129";130400;2013;8946;0,5;1e+06;69,8039032488793;5,58909009613235;6,98039032488793
"130";130406;2013;58314;19,8;1e+06;381,859495954187;33,954110505196;38,1859495954187
"131";130410;2013;18383;1,3;1e+06;66,8949663217756;7,07175107436218;6,68949663217756
"132";130420;2013;62885;8,8;1e+06;146,64299218114;13,9937982030691;14,664299218114
"133";130423;2013;18162;0,5;1e+06;44,6926823302152;2,75300077084022;4,46926823302152
"134";130426;2013;12801;1,5;1e+06;153,395869360177;11,7178345441762;15,3395869360177
"135";130430;2013;17367;1,8;1e+06;110,348397363166;10,3644843669027;11,0348397363166
"136";130440;2013;20091;1,6;1e+06;81,2331908172673;7,96376486984222;8,12331908172673
"137";140002;2013;10432;3,9;1e+06;407,379669391585;37,3849693251534;40,7379669391585
"138";140005;2013;16428;15,1;1e+06;941,698117211572;91,9162405648892;94,1698117211572
"139";140010;2013;308996;93,9;1e+06;315,91520180035;30,3887428963482;31,591520180035
"140";140015;2013;11525;1,9;1e+06;189,159930170938;16,4859002169197;18,9159930170938
"141";140017;2013;15393;4,9;1e+06;379,769518225185;31,8326512050932;37,9769518225185
"142";140020;2013;19696;14,8;1e+06;749,079084944195;75,1421608448416;74,9079084944195
"143";140023;2013;8826;2,1;1e+06;237,792111745753;23,7933378653977;23,7792111745753
"144";140028;2013;9762;3,7;1e+06;396,105217181673;37,9020692481049;39,6105217181673
"145";140030;2013;15890;6,1;1e+06;403,110530739798;38,3889238514789;40,3110530739798
"146";140040;2013;9754;0,7;1e+06;72,6710506552214;7,1765429567357;7,26710506552214
"147";140045;2013;11423;1,8;1e+06;204,835031370764;15,7576818699116;20,4835031370764
"148";140047;2013;26326;6,6;1e+06;267,866762783881;25,0702727341791;26,7866762783881
"149";140050;2013;7284;1,3;1e+06;172,131399355863;17,8473366282262;17,2131399355863
"150";140060;2013;7210;1,3;1e+06;193,614608627523;18,0305131761442;19,3614608627523
"151";140070;2013;9127;0,5;1e+06;80,2662011290936;5,47825134217158;8,02662011290936
"152";150010;2013;147267;60,4;1e+06;383,35141668321;41,0139406655938;38,335141668321
"153";150013;2013;7013;3,8;1e+06;547,764622201451;54,1850848424355;54,7764622201451
"154";150020;2013;54030;17,4;1e+06;339,376212979671;32,2043309272626;33,9376212979671
"155";150030;2013;36598;5,2;1e+06;174,740426625039;14,2084266899831;17,4740426625039
"156";150034;2013;25899;3,3;1e+06;171,945921016265;12,7418047028843;17,1945921016265
"157";150040;2013;54035;4,5;1e+06;94,3938818874837;8,32793559729805;9,43938818874837
"158";150050;2013;33562;6;1e+06;189,331821369427;17,8773613014719;18,9331821369427
"159";150060;2013;105106;81,9;1e+06;748,86015485365;77,9213365554773;74,886015485365
"160";150070;2013;26547;2,2;1e+06;90,4628696806457;8,28718875955852;9,04628696806457
"161";150080;2013;493976;364,4;1e+06;667,874910052724;73,7687660938993;66,7874910052724
"162";150085;2013;23609;10,5;1e+06;499,780755108068;44,474564784616;49,9780755108068
"163";150090;2013;42591;4;1e+06;116,283500849226;9,39165551407574;11,6283500849226
"164";150095;2013;28441;6,3;1e+06;221,970041463257;22,1511198621708;22,1970041463257
"165";150100;2013;15959;2,1;1e+06;154,712114461376;13,1587192179961;15,4712114461376
"166";150110;2013;26666;1,6;1e+06;58,8022623704731;6,00015000375009;5,88022623704731
"167";150120;2013;41232;5,8;1e+06;145,592659592567;14,0667442762903;14,5592659592567
"168";150125;2013;3340;1;1e+06;312,520232510333;29,940119760479;31,2520232510333
"169";150130;2013;109975;49,3;1e+06;433,281212266278;44,82837008411;43,3281212266278
"170";150140;2013;1425922;836,7;1e+06;543,793696420728;58,6778238921905;54,3793696420728
"171";150145;2013;16808;0,5;1e+06;31,7338023453995;2,97477391718229;3,17338023453995
"172";150150;2013;56112;31,9;1e+06;544,197740110434;56,8505845451953;54,4197740110434
"173";150157;2013;15916;7,1;1e+06;450,052553970168;44,6091982910279;45,0052553970168
"174";150160;2013;14689;2,7;1e+06;191,251884218985;18,3811015045272;19,1251884218985
"175";150170;2013;118678;31,4;1e+06;265,943659679153;26,4581472555992;26,5943659679153
"176";150172;2013;15300;6,1;1e+06;416,741171064546;39,8692810457516;41,6741171064546
"177";150175;2013;7285;4,3;1e+06;634,236963964083;59,025394646534;63,4236963964083
"178";150178;2013;58033;22,9;1e+06;404,381271229409;39,460307066669;40,4381271229409
"179";150180;2013;96444;15,6;1e+06;172,594888331958;16,1751897474182;17,2594888331958
"180";150190;2013;27000;9,9;1e+06;400,422401570594;36,6666666666667;40,0422401570594
"181";150195;2013;29533;4,8;1e+06;214,642378933379;16,2530051129245;21,4642378933379
"182";150200;2013;21740;1,4;1e+06;59,5190498910195;6,43974241030359;5,95190498910195
"183";150210;2013;127401;15,9;1e+06;130,590589854385;12,480278804719;13,0590589854385
"184";150215;2013;31062;19,3;1e+06;591,127367544209;62,1337969222845;59,1127367544209
"185";150220;2013;65498;18,6;1e+06;271,56349203216;28,3978136737;27,1563492032159
"186";150230;2013;52537;22,8;1e+06;438,542628295861;43,3979861811676;43,8542628295861
"187";150240;2013;183917;114,5;1e+06;571,393479571292;62,2563438942566;57,1393479571292
"188";150250;2013;22029;1;1e+06;46,6833580531202;4,53947069771665;4,66833580531202
"189";150260;2013;11600;1,8;1e+06;157,157062963278;15,5172413793103;15,7157062963278
"190";150270;2013;46206;13,9;1e+06;311,926204748333;30,0826732458988;31,1926204748333
"191";150275;2013;30233;8,9;1e+06;307,350573738056;29,4380312903119;30,7350573738056
"192";150276;2013;11704;2,8;1e+06;274,250791567738;23,9234449760766;27,4250791567738
"193";150277;2013;17983;10,7;1e+06;616,984373693364;59,5006394928544;61,6984373693364
"194";150280;2013;30915;1,6;1e+06;54,5613808550073;5,17548115801391;5,45613808550073
"195";150285;2013;13097;0,5;1e+06;39,2930444598618;3,81766816828281;3,92930444598618
"196";150290;2013;36557;7,4;1e+06;206,069319214271;20,2423612440846;20,6069319214271
"197";150293;2013;54602;19,4;1e+06;355,087307036801;35,529834072012;35,5087307036801
"198";150295;2013;32420;19,3;1e+06;629,997790418426;59,5311536088834;62,9997790418426
"199";150300;2013;7680;0,2;1e+06;28,6114632976838;2,60416666666667;2,86114632976838
"200";150304;2013;18741;6,9;1e+06;376,376962371673;36,8176724827917;37,6376962371673
"201";150307;2013;25287;7,3;1e+06;296,83888048617;28,8685886028394;29,683888048617
"202";150309;2013;36500;21,9;1e+06;618,079201187826;60;61,8079201187826
"203";150310;2013;30727;2;1e+06;66,4126090759398;6,50893351124418;6,64126090759398
"204";150320;2013;36883;7,7;1e+06;201,207476770767;20,8768267223382;20,1207476770767
"205";150330;2013;59644;29,8;1e+06;471,050772307717;49,9631144792435;47,1050772307717
"206";150340;2013;10693;3;1e+06;285,126157973332;28,055737398298;28,5126157973332
"207";150345;2013;54609;13,3;1e+06;273,0611554254;24,3549598051603;27,30611554254
"208";150350;2013;31634;6,9;1e+06;226,756354381736;21,8119744578618;22,6756354381736
"209";150360;2013;98363;41,9;1e+06;441,924238949745;42,597318097252;44,1924238949745
"210";150370;2013;51711;27,1;1e+06;582,340725689799;52,4066446210671;58,2340725689799
"211";150375;2013;11412;2,9;1e+06;278,98100639361;25,4118471784087;27,898100639361
"212";150380;2013;54376;22,9;1e+06;443,346572072946;42,1141680153009;44,3346572072946
"213";150390;2013;51483;2,4;1e+06;46,0280578443984;4,66173299924247;4,60280578443984
"214";150400;2013;26542;1,3;1e+06;56,5022660415359;4,8978976716148;5,65022660415359
"215";150405;2013;28636;10,8;1e+06;374,724321042919;37,7147646319318;37,4724321042919
"216";150410;2013;8240;0,8;1e+06;121,136808858914;9,70873786407767;12,1136808858914
"217";150420;2013;251885;216,5;1e+06;833,031781246124;85,9519225043175;83,3031781246124
"218";150430;2013;28631;4;1e+06;148,640089173546;13,9708707345185;14,8640089173546
"219";150440;2013;27153;5,9;1e+06;216,86325435164;21,7287224247781;21,686325435164
"220";150442;2013;117614;99,2;1e+06;758,825178029802;84,3437005798629;75,8825178029802
"221";150445;2013;28987;11,6;1e+06;414,158941068064;40,0179390761376;41,4158941068064
"222";150450;2013;25860;0,9;1e+06;33,2200730821365;3,48027842227378;3,32200730821365
"223";150460;2013;28454;5,4;1e+06;185,292881865439;18,9779995782667;18,5292881865439
"224";150470;2013;74768;43,1;1e+06;587,118206034363;57,6449818104002;58,7118206034363
"225";150475;2013;15232;1,4;1e+06;93,4557190826906;9,19117647058824;9,34557190826906
"226";150480;2013;56147;4,3;1e+06;79,5249989612159;7,65846795020215;7,95249989612159
"227";150490;2013;36632;2;1e+06;56,5234642589409;5,45970735968552;5,65234642589409
"228";150495;2013;20528;8,8;1e+06;448,153244517508;42,8682774746688;44,8153244517508
"229";150497;2013;15422;8,2;1e+06;565,021294204767;53,1707949682272;56,5021294204767
"230";150500;2013;14305;1,5;1e+06;101,714010414008;10,4858441104509;10,1714010414008
"231";150503;2013;25203;18,3;1e+06;818,57790201964;72,6104035233901;81,857790201964
"232";150506;2013;67652;31,6;1e+06;527,799108623954;46,7096316442973;52,7799108623954
"233";150510;2013;50171;6,7;1e+06;140,890582387338;13,3543281975643;14,0890582387338
"234";150520;2013;30088;2;1e+06;72,2705890354001;6,64716830630152;7,22705890354001
"235";150530;2013;66821;7,2;1e+06;110,050268105581;10,7750557459481;11,0050268105581
"236";150540;2013;16854;4,6;1e+06;277,868299160632;27,2932241604367;27,7868299160632
"237";150543;2013;29547;14,1;1e+06;480,079308329682;47,7205807696213;48,0079308329682
"238";150548;2013;43057;23,5;1e+06;622,170217604356;54,5788141301066;62,2170217604356
"239";150549;2013;7465;2,5;1e+06;347,050056052573;33,4896182183523;34,7050056052573
"240";150550;2013;103775;64,8;1e+06;631,06964207663;62,4427848711154;63,106964207663
"241";150553;2013;176582;102,6;1e+06;560,87022344925;58,1033174389236;56,087022344925
"242";150555;2013;5743;1,6;1e+06;297,129012044117;27,8600034825004;29,7129012044117
"243";150560;2013;7889;1;1e+06;123,45089385271;12,675877804538;12,345089385271
"244";150563;2013;12720;4,7;1e+06;398,237609248396;36,9496855345912;39,8237609248396
"245";150565;2013;26842;2,9;1e+06;115,411449704728;10,8039639371135;11,5411449704728
"246";150570;2013;28025;1,7;1e+06;55,18291529724;6,06601248884924;5,518291529724
"247";150580;2013;56094;12,6;1e+06;246,597664896971;22,4622954326666;24,6597664896971
"248";150590;2013;36841;3,1;1e+06;96,8720635670402;8,41453815043023;9,68720635670402
"249";150600;2013;29342;2,5;1e+06;85,9945785660667;8,52020993797287;8,59945785660667
"250";150610;2013;10432;1,7;1e+06;166,181182784539;16,2960122699387;16,6181182784539
"251";150611;2013;12838;1,3;1e+06;98,8887545182909;10,126187879732;9,88887545182908
"252";150613;2013;79010;40,1;1e+06;482,246052184305;50,7530692317428;48,2246052184305
"253";150616;2013;17774;3,6;1e+06;193,090834958715;20,2543040396084;19,3090834958715
"254";150618;2013;48959;32,9;1e+06;655,895543745085;67,1990849486305;65,5895543745085
"255";150619;2013;44349;4;1e+06;102,106122554827;9,0193690951318;10,2106122554827
"256";150620;2013;38552;13;1e+06;316,536683573837;33,720688939614;31,6536683573837
"257";150630;2013;21592;3;1e+06;134,108217230676;13,894034827714;13,4108217230676
"258";150635;2013;18736;6,7;1e+06;346,555031950138;35,7600341588386;34,6555031950138
"259";150640;2013;8957;0,6;1e+06;66,9790805443436;6,69867143016635;6,69790805443436
"260";150650;2013;63973;28,8;1e+06;406,611568473764;45,0189923874134;40,6611568473764
"261";150655;2013;19455;4,8;1e+06;252,644377945039;24,6723207401696;25,2644377945039
"262";150658;2013;18934;4,3;1e+06;233,170724334369;22,7104679412697;23,3170724334369
"263";150660;2013;23649;9,4;1e+06;385,707822900615;39,7479808871411;38,5707822900615
"264";150670;2013;63031;19,6;1e+06;353,167969451975;31,0958099982548;35,3167969451975
"265";150680;2013;288462;43,7;1e+06;150,078320744626;15,1493090944388;15,0078320744626
"266";150690;2013;6341;0,7;1e+06;111,764266119737;11,0392682542186;11,1764266119737
"267";150700;2013;28575;12,4;1e+06;417,468249267754;43,3945756780402;41,7468249267754
"268";150710;2013;17266;4;1e+06;219,585319927642;23,1669176416078;21,9585319927642
"269";150715;2013;24012;11,7;1e+06;513,002059364478;48,7256371814093;51,3002059364478
"270";150720;2013;30550;7,7;1e+06;283,975447893731;25,2045826513912;28,3975447893731
"271";150730;2013;106940;25,7;1e+06;252,293914067745;24,0321675706003;25,2293914067745
